longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink
GreenFILE,8gh,164347005,Microplastics accumulate priority antibiotic-resistant pathogens: Evidence from the riverine plastisphere.,"Microplastics (MPs) might accumulate and transport antibiotic-resistant bacteria (ARB) in aquatic systems. We determined the abundance and diversity of culturable ciprofloxacin- and cefotaxime-resistant bacteria in biofilms covering MPs placed in river water, and characterized priority pathogens from these biofilms. Our results showed that the abundance of ARB colonizing MPs tends to be higher compared to sand particles. Also, higher numbers were cultivated from a mixture of polypropylene (PP), polyethylene (PE) and polyethylene terephthalate (PET), compared to PP and PET alone. Aeromonas and Pseudomonas isolates were the most frequently retrieved from MPs placed before a WWTP discharge while Enterobacteriaceae dominated the culturable plastisphere 200 m after the WWTP discharge. Ciprofloxacin- and/or cefotaxime-resistant Enterobacteriaceae (n = 54 unique isolates) were identified as Escherichia coli (n = 37), Klebsiella pneumoniae (n = 3), Citrobacter spp. (n = 9), Enterobacter spp. (n = 4) and Shigella sp. (n = 1). All isolates presented at least one of the virulence features tested (i.e. biofilm formation, haemolytic activity and production of siderophores), 70% carried the intI1 gene and 85% exhibited a multi-drug resistance phenotype. Plasmid-mediated quinolone resistance genes were detected in ciprofloxacin-resistant Enterobacteriaceae [ aacA4-cr (40% of the isolates), qnrS (30%), qnrB (25%), and qnrVC (8%)], along with mutations in gyrA (70%) and parC (72%). Cefotaxime-resistant strains (n = 23) harbored bla CTX-M (70%), bla TEM (61%) and bla SHV (39%). Among CTX-M producers, high-risk clones of E. coli (e.g. ST10 or ST131) and K. pneumoniae (ST17) were identified, most of which carrying bla CTX-M-15. Ten out of 16 CTX-M producers were able to transfer bla CTX-M to a recipient strain. Our results demonstrated the occurrence of multidrug resistant Enterobacteriaceae in the riverine plastisphere, harboring ARGs of clinical concern and exhibiting virulence traits, suggesting a contribution of MPs to the dissemination of antibiotic-resistant priority pathogens. The type of MPs and especially water contamination (e.g. by WWTPs discharges) seem to determine the resistome of the riverine plastisphere. [Display omitted] • MPs had higher antibiotic-resistant bacteria levels than sand. • Antibiotic-resistant bacteria abundance depended on the MP type. • Abundance of multiresistant Enterobacteriaceae increased after WWTP discharge. • MPs hosted high-risk clones of priority antibiotic-resistant pathogens. • The plastisphere contained clinically concerning mobile ARGs (e.g. bla CTX-M).",20230901,"Silva, Isabel ; Rodrigues, Elsa T. ; Tacão, Marta ; Henriques, Isabel",Article,Academic Journal,Sep2023,true,Environmental Pollution,Plastic marine debris ; Escherichia coli ; Pathogenic microorganisms ; Ciprofloxacin ; Enterobacteriaceae ; Microplastics ; Klebsiella pneumoniae ; Drug resistance in bacteria ; Multidrug resistance,JOUR,,,0269-7491,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,332,,10.1016/j.envpol.2023.121995,,JE4,,https://research.ebsco.com/linkprocessor/plink?id=bf664d02-f31b-358d-becf-84bbeaad7320
GreenFILE,8gh,178953758,Microplastics Aided Augmentation of Antibiotic Resistance in WWTPs: A Global Concern.,"Microplastics (MPs) and antibiotic resistance genes (ARGs) in the environment are the major subject of concern across the globe as they jeopardize not only aquatic life but human health as well. MPs are potentially competent to adsorb various micropollutants (heavy metals), bacterial communities, and biofilm formation which comply with the requirement of efficient sorption of antibiotics and transfer of ARGs. MPs adsorb antibiotics through physicochemical interactions, leading to the formation of biofilm-enriched bacteria on the surfaces of MPs that further enhances the abundance of antibiotic resistance genes (ARGs) and facilitates their dispersal. Therefore, this review recapitulates the interactive forces responsible for antibiotics sorption on MPs and also the intricate relationship between MPs, antibiotics, and microbial hosts of ARGs. Furthermore, the role of the wastewater treatment plants (WWTPs), which serve as a formidable connecting link between MPs and the ecosystem, is discussed in relation to dissemination of antibiotics, ARGs, and antibiotic-resistant bacteria (ARB) to get a clear perception of the contribution of WWTPs in drawing together MPs with antibiotics, ARB, and ARGs.",20240801,"Rajput, Meenakshi ; Mathur, Nupur ; Singh, Anuradha ; Bhatnagar, Pradeep",Article,Academic Journal,Aug2024,true,"Water, Air & Soil Pollution",Sewage disposal plants ; Bacterial communities ; Heavy metals ; Drug resistance in bacteria ; Microplastics ; Biofilms,JOUR,,,0049-6979,,,,,eng,Springer Nature,17,1,17,235,8,10.1007/s11270-024-07326-8,,2G2,,https://research.ebsco.com/linkprocessor/plink?id=69b2b1da-f89c-30ff-b3d7-ab206de3b63c
GreenFILE,8gh,181192437,Microplastics exacerbate the ecological risk of antibiotic resistance genes in wetland ecosystem.,"Wetlands are vital components of the global ecosystem, significantly influencing the retention and dissemination of microplastics (MPs) and antibiotic resistance genes (ARGs). However, the effects of different types of MPs on the environmental dynamics of ARGs within these ecosystems remain poorly understood. This study focused on the distribution and composition of ARGs associated with two primary types of MPs—polyethylene and polypropylene—within the Poyang Lake wetland, the largest freshwater lake in China, utilizing metagenomic analysis. The findings demonstrated that the bacterial communities and ARG profiles in the plastisphere were markedly distinct from those in the surrounding water. Specifically, thirteen opportunistic pathogens and forty subtypes of ARGs, primarily related to multidrug, bacitracin, and β-lactam resistance, were identified in the plastisphere. Notably, polyethylene exhibited four times more specific ARG subtypes than polypropylene. Procrustes analysis combined with network analysis indicated a lack of strong correlation between ARG abundance and bacterial populations, suggesting potential horizontal transfer of ARGs within the microbiota of the plastisphere. Additionally, three novel and functional β-lactamase genes were identified within this environment. This investigation highlights the role of MPs as reservoirs for ARGs, facilitating their exchange and posing risks to both ecological integrity and human health, thereby underscoring the need for increased attention in future research efforts. • Microplastics significantly enriched pathogenic bacteria and ARGs. • Polyethylene harbored 4-fold more ARG subtypes than polypropylene. • Potential horizontal transfer of ARGs within microplastic microbiota. • Three novel β-lactamases were identified in plastisphere.",20241215,"Liu, Shuli ; Cao, Jian ; Yu, Jinli ; Jian, Minfei ; Zou, Long",Article,Academic Journal,Dec2024,true,Journal of Environmental Management,Ecological integrity ; Lakes ; Plastic marine debris ; Drug resistance in bacteria ; Microplastics ; Bacterial population,JOUR,,,0301-4797,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,372,,10.1016/j.jenvman.2024.123359,,EMJ,,https://research.ebsco.com/linkprocessor/plink?id=64bd18e8-3307-3a3e-b2ba-866cc321d416
GreenFILE,8gh,182345143,The combination of polystyrene microplastics and di (2-ethylhexyl) phthalate promotes the conjugative transfer of antibiotic resistance genes between bacteria.,"Plastic pollution has become a common phenomenon. The process of plastic degradation is accompanied by the release of microplastics and plasticizers. However, the coexistence of microplastics and plasticizers on the transfer of antibiotic resistance genes (ARGs) has not been reported until now. Here, polystyrene (PS) microplastics and plasticizer di (2-ethylhexyl) phthalate (DEHP) were used for combined treatment experiment and their effects and mechanisms on the transfer of ARGs between bacteria were explored. By increasing cell membrane permeability and the expression of correlated genes, the combined treatment group showed promoting effects on the transfer of ARGs than that of control, with the highest promoting effects observed at 1 mg/L PS and 0.1 mg/L DEHP, which was 3.0 times higher in ARGs transfer rate than that of control. It was found that PS and DEHP treatment alone also led to a higher conjugative transfer frequency, and the frequency of the combined treatment was lower than that of the corresponding single treatment group. This indicated that the effects of DEHP and microplastics on ARGs transfer might be antagonistic. Transcriptome analysis indicated that the transfer of ARGs affects bacterial ion binding, oxidative stress, and energy metabolism processes, while the expression of genes related to cell membrane permeability, DNA repair, bacterial drug resistance, and quorum sensing also increase. This study may provide new insights for explaining the combined effects of various pollutants in the environment on the spread of ARGs. [Display omitted] • Combined effects of nanoplastics and DEHP on conjugative transfer was analyzed. • The aggregation of nanoplastics and its adsorption on DEHP reduced combined effects. • The co-addition of nanoplastics and DEHP can promote the transfer of ARGs.",20250101,"Li, Yu ; Liu, Xiaomei ; Guo, Saisai ; Wang, Lan ; Tang, Jingchun",Article,Academic Journal,Jan2025,true,Ecotoxicology & Environmental Safety,Plasticizers ; Membrane permeability (Biology) ; Drug resistance in bacteria ; Microplastics ; Drug resistance,JOUR,,,0147-6513,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,289,,10.1016/j.ecoenv.2025.117681,,L0E,,https://research.ebsco.com/linkprocessor/plink?id=98a39ffc-7b20-302e-baa9-195c255d4f3a
GreenFILE,8gh,175524368,Marine plastisphere selectively enriches microbial assemblages and antibiotic resistance genes during long-term cultivation periods.,"Several studies have focused on identifying and quantifying suspended plastics in surface and subsurface seawater. Microplastics (MPs) have attracted attention as carriers of antibiotic resistance genes (ARGs) in the marine environment. Plastispheres, specific biofilms on MP, can provide an ideal niche to spread more widely through horizontal gene transfer (HGT), thereby increasing risks to ecosystems and human health. However, the microbial communities formed on different plastic types and ARG abundances during exposure time in natural marine environments remain unclear. Four types of commonly used MPs (polyethylene (PE), polypropylene (PP), polystyrene (PS), and polyvinyl chloride (PVC)) were periodically cultured (46, 63, and 102 d) in a field-based marine environment to study the co-selection of ARGs and microbial communities in marine plastispheres. After the first 63 d of incubation (p < 0.05), the initial 16S rRNA gene abundance of microorganisms in the plastisphere increased significantly, and the biomass subsequently decreased. These results suggest that MPs can serve as vehicles for various microorganisms to travel to different environments and eventually provide a niche for a variety of microorganisms. Additionally, the qPCR results showed that MPs selectively enriched ARGs. In particular, tetA, tetQ, sul1, and qnrS were selectively enriched in the PVC-MPs. The abundances of intl1 , a mobile genetic element, was measured in all MP types for 46 d (5.22 × 10<sup>−5</sup> ± 8.21 × 10<sup>−6</sup> copies/16s rRNA gene copies), 63 d (5.90 × 10<sup>−5</sup> ± 2.49 × 10<sup>−6</sup> copies/16s rRNA gene copies), and 102 d (4.00 × 10<sup>−5</sup> ± 5.11 × 10<sup>−6</sup> copies/16s rRNA gene copies). Network analysis indicated that ARG profiles co-occurred with key biofilm-forming bacteria. This study suggests that the selection of ARGs and their co-occurring bacteria in MPs could potentially accelerate their transmission through HGT in natural marine plastics. [Display omitted] • Co-selection of microbial assemblages and ARGs was explored in a field-based marine plastisphere. • Selective ARG enrichment, notably in PVC, poses health and eco risks. • Intl1, tetA, tetQ, ermB , and sul1 co-occurred with key biofilm-forming bacteria on the MP surface.",20240301,"Kim, Hyunsu ; Yoo, Keunje",Article,Academic Journal,Mar2024,true,Environmental Pollution,Microbial communities ; Biodegradable plastics ; Mobile genetic elements ; Horizontal gene transfer ; Drug resistance in bacteria ; Biofilms ; Genes,JOUR,,,0269-7491,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,344,,10.1016/j.envpol.2024.123450,,JE4,,https://research.ebsco.com/linkprocessor/plink?id=d2070ae7-3790-3318-aaa2-fd57a1cc192f
GreenFILE,8gh,169815139,Alteration of the migration trajectory of antibiotic resistance genes by microplastics in a leachate activated sludge system.,"The environmental behavior of emerging contaminants of microplastics (MPs), antibiotics and antibiotic resistance genes (ARGs) in the leachate activated sludge system has been monitored and analyzed comprehensively. The results suggested that MPs could effectively alter the migration trajectory of tetracycline resistance genes (tet genes) in the leachate activated sludge system under intermittent and continuous influent conditions. After adding MPs, the total average abundance of tet genes in leachate increased from 0.74 ± 0.07 to 0.78 ± 0.07 (log 10 tet genes/log 10 16S rRNA) and that in sludge increased from 0.65 ± 0.08 to 0.70 ± 0.06 (log 10 tet genes/log 10 16S rRNA). Except for tetA , the abundance of tetB , tetO , tetM and tetQ on MPs increased with increasing TC concentration under both aerobic and anaerobic conditions. MPs not only significantly affect the abundance level and migration trajectory of ARGs in the leachate activated sludge system, but also remarkably improve the level of heavy metals in the ambient environment, indirectly promoting the selective effect of antibiotic-resistant bacteria (ARB) and promoting the development of antibiotic resistance (AR). In addition, MPs changed their physicochemical properties and released hazardous substances with aging to force tet genes to migrate from the leachate activated sludge system to the MPs, making AR more difficult to eliminate and persisted in wastewater treatment plants. Meanwhile, microorganisms played a driving role, making MPs serve as a niche for ARGs and ARB colonization. The co-occurrence network analysis indicated the specific distribution pattern of tet genes and microorganisms in different media, and the potential host was speculated. This study improves the understanding of the environmental behavior of emerging contaminants in leachate activated sludge system and lays a theoretical for protecting the ecological environment. [Display omitted] • MPs altered the migration trajectory of tet genes in leachate biotreatment system. • MPs as enrichment carriers of ARGs and ARB promote the persistence of AR. • The abundance of tet (B , O , M and Q) on MPs increased with increasing TC. • MPs remarkably elevated the levels of ARGs and heavy metals in leachate environment. • MPs are ubiquitous in leachate activated sludge system and compete for ARGs.",20230915,"Liu, Hongyuan ; Li, Hong ; Qiu, Libo ; Xie, Qiaona ; Lu, Yingying ; Chen, Binhui ; Wang, Hua ; Long, Yuyang ; Hu, Lifang ; Fang, Chengran",Article,Academic Journal,Sep2023,true,Environmental Pollution,Leachate ; Sewage disposal plants ; Hazardous substance release ; Activated sludge process ; Biodegradable plastics ; Drug resistance in bacteria ; Microplastics,JOUR,,,0269-7491,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,333,,10.1016/j.envpol.2023.121981,,JE4,,https://research.ebsco.com/linkprocessor/plink?id=781ae1b9-80ea-39d4-86df-69977ba3b693
GreenFILE,8gh,179138875,Metagenomic insights into ecological risk of antibiotic resistome and mobilome in riverine plastisphere under impact of urbanization.,"[Display omitted] • Urbanization shaped the distribution of antibiotic resistome in plastisphere. • Population density was the key factor for proliferating antibiotic resistome. • Polymer types of microplastics affected antibiotic resistome and mobilome. • Leaf-biofilms harbored the lowest levels of mobile genetic elements. • Polylactic acid could serve as an alternative to traditional plastics. Microplastics (MPs) are of increasing concern due to their role as reservoirs for antibiotic resistance genes (ARGs) and pathogens. To date, few studies have explored the influence of anthropogenic activities on ARGs and mobile genetic elements (MGEs) within various riverine MPs, in comparison to their natural counterparts. Here an in-situ incubation was conducted along heavily anthropogenically-impacted Houxi River to characterize the geographical pattern of antibiotic resistome, mobilome and pathogens inhabiting MPs- and leaf-biofilms. The metagenomics result showed a clear urbanization-driven profile in the distribution of ARGs, MGEs and pathogens, with their abundances sharply increasing 4.77 to 19.90 times from sparsely to densely populated regions. The significant correlation between human fecal marker crAssphage and ARG (R<sup>2</sup> = 0.67, P =0.003) indicated the influence of anthropogenic activity on ARG proliferation in plastisphere and natural leaf surfaces. And mantel tests and random forest analysis revealed the impact of 17 socio-environmental factors, e.g., population density, antibiotic concentrations, and pore volume of materials, on the dissemination of ARGs. Partial least squares-path modeling further unveiled that intensifying human activities not only directly boosted ARGs abundance but also exerted a comparable indirect impact on ARGs propagation. Furthermore, the polyvinylchloride plastisphere created a pathogen-friendly habitat, harboring higher abundances of ARGs and MGEs, while polylactic acid are not likely to serve as vectors for pathogens in river, with a lower resistome risk score than that in leaf-biofilms. This study highlights the diverse ecological risks associated with the dissemination of ARGs and pathogens in varied MPs, offering insights for the policymaking of usage and control of plastics within urbanization.",20240801,"Yan, Weifu ; Bai, Rui ; Zhang, Qinghua ; Jiang, Yuhao ; Chen, Geng ; Zhang, Yanru ; Wu, Yicheng ; Guo, Xuetao ; Xiao, Yong ; Zhao, Feng",Article,Academic Journal,Aug2024,true,Environment International,Mobile genetic elements ; Disease risk factors ; Polylactic acid ; Drug resistance in bacteria ; Random forest algorithms,JOUR,,,0160-4120,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,190,,10.1016/j.envint.2024.108946,,JQ0,,https://research.ebsco.com/linkprocessor/plink?id=f79a2390-5e76-30db-ad35-703363f06a24
GreenFILE,8gh,179262401,Distinct species turnover patterns shaped the richness of antibiotic resistance genes on eight different microplastic polymers.,"Elucidating the formation mechanism of plastisphere antibiotic resistance genes (ARGs) on different polymers is necessary to understand the ecological risks of plastisphere ARGs. Here, we explored the turnover and assembly mechanism of plastisphere ARGs on 8 different microplastic polymers (4 biodegradable (bMPs) and 4 non-biodegradable microplastics (nMPs)) by metagenomic sequencing. Our study revealed the presence of 479 ARGs with abundance ranging from 41.37 to 58.17 copies/16S rRNA gene in all plastispheres. These ARGs were predominantly multidrug resistance genes. The richness of plastisphere ARGs on different polymers had a significant correlation with the contribution of species turnover to plastisphere ARGs β diversity. Furthermore, polymer type was the most critical factor affecting the composition of plastisphere ARGs. More opportunistic pathogens carrying diverse ARGs on BMPs (PBAT, PBS, and PHA) with higher horizontal gene transfer potential may further magnify the ecological risks and human health threats. For example, the opportunistic pathogens Riemerella anatipestifer , Vibrio campbellii , and Vibrio cholerae are closely related to human production and life, which were the important potential hosts of many plastisphere ARGs and mobile genetic elements on BMPs. Thus, we emphasize the urgency of developing the formation mechanism of plastisphere ARGs and the necessity of controlling BMPs and ARG pollution, especially BMPs, with ever-increasing usage in daily life. [Display omitted] • Polymer types were the main factor that shaped the composition of plastisphere ARGs. • Plastisphere ARGs on different polymers had distinct turnover and assembly patterns. • Multidrug resistance genes were the main components of plastisphere ARGs. • BMPs may further increase the co-occurrence and horizontal transfer of ARGs.",20241015,"Zhang, Weihong ; Geng, Jun ; Sun, Mengge ; Jiang, Chunxia ; Lin, Hui ; Chen, Haiyang ; Yang, Yuyi",Article,Academic Journal,Oct2024,true,Environmental Research,Mobile genetic elements ; Horizontal gene transfer ; Multidrug resistance ; Vibrio cholerae ; Drug resistance in bacteria,JOUR,,,0013-9351,,,,,eng,Academic Press Inc.,N.PAG,N.PAG,,259,,10.1016/j.envres.2024.119562,,KZQ,,https://research.ebsco.com/linkprocessor/plink?id=34cdd3ac-babd-3067-8710-c4a41c42bb6c
GreenFILE,8gh,179169074,Ecotoxicological Effects of Microplastics Combined With Antibiotics in the Aquatic Environment: Recent Developments and Prospects.,"Both microplastics and antibiotics are commonly found contaminants in aquatic ecosystems. Microplastics have the ability to absorb antibiotic pollutants in water, but the specific adsorption behavior and mechanism are not fully understood, particularly in relation to the impact of microplastics on toxicity in aquatic environments. We review the interaction, mechanism, and transport of microplastics and antibiotics in water environments, with a focus on the main physical characteristics and environmental factors affecting adsorption behavior in water. We also analyze the effects of microplastic carriers on antibiotic transport and long‐distance transport in the water environment. The toxic effects of microplastics combined with antibiotics on aquatic organisms are systematically explained, as well as the effect of the adsorption behavior of microplastics on the spread of antibiotic resistance genes. Finally, the scientific knowledge gap and future research directions related to the interactions between microplastics and antibiotics in the water environment are summarized to provide basic information for preventing and treating environmental risks. Environ Toxicol Chem 2024;43:1950–1961. © 2024 SETAC",20240901,"Du, Jia ; Huang, Wenfei ; Pan, Ying ; Xu, Shaodan ; Li, Huanxuan ; Jin, Meiqing ; Liu, Qinghua",Article,Academic Journal,Sep2024,true,Environmental Toxicology & Chemistry,Poisons ; Water pollution ; Plastic marine debris ; Scientific knowledge ; Microplastics ; Drug resistance in bacteria,JOUR,,,0730-7268,,,,,eng,Wiley-Blackwell,1961,1950,12,43,9,10.1002/etc.5950,,5JI,,https://research.ebsco.com/linkprocessor/plink?id=72393cd1-f999-398c-a0f7-ff8c9dcb0d40
GreenFILE,8gh,180587404,Plastic Debris in the Aquatic Environment: An Emerging Substratum for Antimicrobial Resistant (AMR) Biofilms.,"Plastic pollution has quadrupled over the past years and has become a global concern due to its direct impact on life forms. The present study analysed whether the plastic debris in aquatic environments could act as the substratum for the antimicrobial-resistant (AMR) bacteria to form biofilm for survival. We have collected various plastic debris (n = 32) from six sites of the Periyar River, the drinking water source for the entire city and one of the most polluted rivers in Kerala (India). The chemical composition of plastics was screened via FTIR analysis and found that they comprised two types, viz., polyethylene and polypropylene. Bacteria isolated from the samples were screened for the AMR characteristics towards eight different classes of antibiotics. All isolates showed 100% resistance towards colistin and obtained the MAR index value of 0.1–0.4 range. Six representative bacterial isolates with high multiple antibiotic resistance (MAR) index were selected and identified by 16sRNA sequencing as Lysinibacillus mangiferihumi, Bacillus pumilus, Bacillus safensis, Bacillus cereus, Bacillus altitudins and Bacillus pumilus. In vitro biofilm formation was experimented on the purchased plastic samples in artificial media and river water using two selected strains, Bacillus pumilus and Bacillus cereus. Significant variations were observed in biofilm growth in different media (P < 0.05) regardless of plastic types (P > 0.05). The extracellular polymeric substances (EPS) and the characteristic holes on the surface morphology were visualized in SEM analysis, thus indicating the conditioning of the plastics by the isolates for biofilm formation.",20241001,"Suresh, Sneha ; Ambily, S. K. A. ; Chandran, Preethy",Article,Academic Journal,Oct2024,true,Archives of Environmental Contamination & Toxicology,Plastic scrap ; Bacillus pumilus ; Bacillus cereus ; Bacillus (Bacteria) ; Surface morphology ; Triclosan,JOUR,,,0090-4341,,,,,eng,Springer Nature,320,311,10,87,3,10.1007/s00244-024-01086-6,,KO0,,https://research.ebsco.com/linkprocessor/plink?id=0335b34d-fcc0-3cb3-8377-dd8039c270af
