Title,Abstract,Authors,DOI,Journal
Antimicrobial Efficacy Of A Silver Impregnated Hydrophilic Pu Foam,"A novel hydrophilic polyurethane (PU) foam dressing which is impregnated with silver chloride, Optifoam® Gentle (OG) Ag+ (Medline Industries Inc., Chicago, Illinois), was evaluated in this study. The aims of this study were to determine the rate of elution of silver from the foam dressing over a period of 168 hours into simulated wound fluid and an evaluation of antimicrobial efficacy using zone of inhibition (ZOI), direct kill, and time-kill viability. Thirty-two microorganisms associated with wounds including Pseudomonas aeruginosa, Methicillin sensitive Staphylococcus aureus (MSSA), Acinetobacter baumannii, Candida albicans, and antibiotic-resistant strains (Methicillin-resistant S. aureus [MRSA] and Vancomycin-resistant Enterococci [VRE]) were evaluated. Silver release from the wound dressing showed an exponential curve with a stable sustained release of 25ppm achieved after 24 hours, which was maintained for the full duration of the study. OG Ag+ caused inhibition zones ranging from 4-16mm after a 24-hour contact time. In the direct kill assay, OG Ag+ reduced the microbial numbers below the limit of detection and reduced viability by a log of four within 24 hours. For the time-kill viability studies, the results support the use of this hydrophilic polyurethane foam as a wound dressing for use in wounds at risk of infection or infected by achieving a four log kill within six hours and a six log kill in 16 hours. In conclusion, OG Ag+ was shown to be an effective wound dressing in the killing of a range of important opportunistic pathogens of relevance to wound healing and infections. Achieving a six log kill against S. aureus and E.coli, within 16 hours in the time kill assay, (ASTM E2315-03) demonstrates that OG Ag+ should be an important addition to the armoury available for the management of acute and chronic wounds at risk of infection or clinically infected.",Steven L Percival,No DOI,Surgical Technology International
Effectiveness Of Roselle Effervescent Tablets As Traditional Medicinal Plants In Preventing Growth Of Candida Albicans Colonies And Streptococcus Mutans,To analyze the effectiveness of roselle effervescent tablets inhibiting the growth of Streptococcus mutans and Candida albicans colonies on acrylic resin plate.,Edy Machmud,No DOI,The Journal Of Contemporary Dental Practice
Topical Approaches To Improve Surgical Outcomes And Wound Healing: A Review Of Efficacy And Safety,"<p>Surgical procedures are an important piece of a dermatologist's daily practice. Therefore, the optimization of post-surgical wound healing is an area of utmost importance and interest. Although low risk, one notable barrier to proper wound healing is surgical site infection.</p> <p>In an attempt to mitigate this risk and improve surgical outcomes, multiple topical products continue to be used both pre- and postprocedure. Traditionally, this includes both topical antibiotics and antiseptics. However, these products are not without consequence.</p> <p>The overuse of topical antibiotics as prophylaxis for infection has contributed to increased bacterial resistance, and in fact is no longer recommended by the American Academy of Dermatology in clean post surgical wounds. Topical antiseptics, including chlorhexidine and povidone-iodine, can have a cytotoxic effect on keratinocytes and may actually impede wound healing as a result. In addition, chlorhexidine in particular can produce both otologic and ocular toxic effects when used on the face. Emerging products, such as hypochlorous acid, may be a potential alternative to the more commonly used agents, as it has effective antimicrobial actions and minimal adverse effects. Therefore, the purpose of this review is to highlight several topical products used to optimize post-surgical wound healing and discuss both their efficacy and safety.</p> <p><em>J Drugs Dermatol. 2017;16(3):209-212.</em></p>.","Kristin Totoraitis, Joel L Cohen, Adam Friedman",No DOI,Journal Of Drugs In Dermatology : Jdd
[Ggi As A Gene Carrier Delivering Mdr1 Sirna To A549/Ddp Cells For Reversal Of Multidrug Resistance],"This study was designed to reverse multidrug resistance of lung cancer cells by downregulating MDR1 genes through RNA interference (RNAi) technology. A novel biodegradable cationic polymer (PEG- b- PLG-g-PEIs, GGI) was synthesized and characterized by 1H NMR. The particle size and zeta potential were measured by dynamic light scattering (DLS). The cell viability profile of GGI was tested by MTT method with both A549 and A549/DDP cell lines. Flow cytometry (FCM) technology was used to investigate the efficiency and intensity of delivering siRNA to cells by GGI polymer. RT-PCR and Western blot were used to detect the mRNA and P-gp expression after GGI/MDR1 siRNA transfection assay. The sensitivity of cisplatin administration after transfecting GGI/MDR1 siRNA polyplexs was performed with MTT and Annexin V-FITC/PI methods. The results suggest that the particle size and zeta potential of GGI/siRNA were 150 −200 nm and 16−28 mV. GGI exhibited a lower cell cytotoxity than PEI 25K and higher efficiency of delivering siRNA, which dramatically decreased the expression of MDR1 mRNA and P-gp of A549/DDP cells and increased much sensitivity to cisplatin in A549/DDP cells. GGI holds a great potential in gene delivery as a novel cationic polymer for further investigation.","Zi-Rui Wang, Feng Bai, Xiao-Ying Zhang, Jia-Min Wu, Ling Guo, Zhi Li, Min Feng",No DOI,Yao Xue Xue Bao = Acta Pharmaceutica Sinica
[Advances In The Treatment Of Wound Bacterial Infection With Phage],"The treatment of wound bacterial infection is an extremely difficult problem in clinic, especially in patients with large wounds which are infected by multidrug resistant, pan-resistant or omni-resistant bacteria. In recent years, with a grim prospect of antibiotic resistance, phage therapy is re-valued by researchers after being ignored for nearly half a century. Phage therapy has made great achievements in prevention and control of bacterial infection of open wounds. This review is mainly focused on the latest research progress of phage therapy in wound bacterial infection.",Zelong Cui,No DOI,Zhonghua Shao Shang Za Zhi = Zhonghua Shaoshang Zazhi = Chinese Journal Of Burns
[Cancer Phenotypic Plasticity And Therapeutic Resistance],"Cancer genomic medicine or cancer immunotherapy has led to a paradigm shift in cancer treatment. When the first treatment does not work, patients may be able to have second-line therapy or additional rounds of treatment after that, however, most advanced cancers eventually acquire resistance to those treatments. To stop this perpetual cycle, a deeper understanding of cancer evolutionary trajectories during the acquisition of therapeutic resistance is needed. We and others have recently provided evidence that non-genetic drug resistance is due to dormant persister cells, yet little is known about how persister cancer cells promote tumor relapse. To study the non-genetic evolution of cancer cells, a single-cell analysis will enable us to trace the phenotypic plasticity of cancer cells. As persister cancer cells are considered to act as a reservoir for drug-resistant mutants, we may be able to overcome cancer relapse or metastasis if we can better understand their evolutionary trajectories.",Kunihiko Hinohara,No DOI,Gan To Kagaku Ryoho. Cancer & Chemotherapy
Cancer: More Than A Geneticist'S Pandora'S Box,"Despite identical genetic constitution, a cancer cell population can exhibit phenotypic variations termed as nongenetic/ non-mutational heterogeneity. Such heterogeneity - a ubiquitous nature of biological systems - has been implicated in metastasis, therapy resistance and tumour relapse. Here, we review the evidence for existence, sources and implications of non-genetic heterogeneity in multiple cancer types. Stochasticity/noise in transcription, protein conformation and/or external microenvironment can underlie such heterogeneity. Moreover, the existence of multiple possible cell states (phenotypes) as a consequence of the emergent dynamics of gene regulatory networks may enable reversible cell-state transitions (phenotypic plasticity) that can facilitate adaptive drug resistance and higher metastatic fitness. Finally, we highlight how computational and mathematical models can drive a better understanding of non-genetic heterogeneity and how a systemslevel approach integrating mathematical modeling and in (vitro/in vivo) experiments can map the diverse phenotypic repertoire and identify therapeutic vulnerabilities of an otherwise clonal cell population.","Kritika Saxena, Ayalur Raghu Subbalakshmi, Prakash Kulkarni, Mohit Kumar Jolly",No DOI,Journal Of Biosciences
"[Genetics And Genomics Of Wheat: Storage Proteins, Ecological Plasticity, And Immunity]","Recent advances in genetics and genetic research methods made it possible to explain the large polymorphism observed among storage proteins of wheat weevil (gliadins and glutenins), to determine their genetic control mechanism, and to develop a system for the identification of wheat genotypes on the basis of multiple allelism. This system has extremely high sensitivity and efficiency, which makes it possible to conduct studies to determine the purity and authenticity of wheat varieties, the dynamics of alleles diversity in time and space, the phylogenetics, etc., through the use of an extensive database on the allelic composition of gliadin loci. An investigation of the molecular structure of genes controlling the synthesis of storage proteins and their organization on chromosomes, as well as an analysis of wheat genome structure, revealed the molecular mechanisms of variability in the wheat genome and its reorganization in response to changes in environmental conditions and cultivation technologies. The multilevel genetic system of protection against pathogens and adverse environmental factors that developed in the course of wheat evolution continues to astound researchers' imagination with new resistance genes and novel types of antimicrobial peptides having been discovered and sequenced in recent years and the diversity of their structures and mechanisms of action in response to pathogens. An analysis of gene sequences involved in wheat domestication, namely, those that define ecological plasticity, i. e. the type of plant development (Vrn genes), and those responsible for spikelet traits (Q genes), which ensured the successful cultivation of wheat by humans, revealed that the basis for these features are specific mutations.",A Yu Novoselskaya-Dragovich,No DOI,Genetika
[Infection With Carbapenemase-Producing Organisms After Cosmetic Surgery At A Hospital Abroad],"In Denmark, the incidence of carbapenemase-producing organisms (CPO) is increasing, and a coordinated national strategy is needed. We describe a case story of a 40-year-old woman transferred to a Danish hospital with severe complications after cosmetic surgery in the Middle East. She had an intra-abdominal infection with three different CPO, one of them co-resistant to colistin, one of the few remaining antibiotics for CPO treatment. Because of good clinical response to surgical treatment, antibiotics covering these multiresistant bacteria were not given. Isolation precautions were applied.","Vigith Andrews, Anette M Hammerum, Niclas Dohrn, Barbara J Holzknecht",No DOI,Ugeskrift For Laeger
Evaluation Of Antibiotic Use And Bacterial Profile In Burn Unit Patients At The Dr. Soetomo General Hospital,"The high inaccuracy of antibiotic prescribing in Dr. Soetomo General Hospital Surabaya, Indonesia, is one of the factors triggering the increasing prevalence of antibiotic-resistant pathogenic bacteria. The World Health Organization (WHO) showed that bacterial resistance to antibiotics was a threat to people's health around the world. Burn injuries are susceptible to infection and need appropriate antibiotics. The purpose of this study was to obtain a germ map for our burn patients and to evaluate the antibiotic therapy that had been used to treat them. This was a descriptive observational study, conducted in the Burn Unit at the Dr. Soetomo General Hospital. The study used data from burn patients who were treated there from February to May 2018. The patients' medical records, records of drug usage (antibiotics) and culture results data (bacterial sensitivity test for antibiotics) were examined. Total antibiotic usage was calculated using the Defined Daily Dose (DDD) method per 100 days. The quality of antibiotic usage was assessed using the Gyssens method. Bacterial profile was obtained from culture swab. According to our findings, the most widely used antibiotic is ceftazidim with DDD / 100 days of 22.25. Based on the qualitative analysis using the Gyssens method, 33.3% were in category VI-0. The most common bacteria obtained from the swabs were Bacillus cereus and Acinetobacter baumanni, found in 12% of the patients. Antibiotics are still not used wisely in the Burn Unit at the Dr. Soetomo General Hospital.","S Aisyah, R Yulia, I D Saputro, F Herawati",No DOI,Annals Of Burns And Fire Disasters
A Composite Hydrogel With Antibacterial And Promoted Cell Proliferation Dual Properties For Healing Of Infected Wounds,"Wound infection remains a major challenge for health professionals, because it delays wound healing and increases the overall cost and morbidity. Therefore, the development of new biomaterials with new antibacterial properties and healing effects remains a dire clinical need. To solve this problem, we developed silver nanoparticles embedded in γ-cyclodextrin metal-organic frameworks (Ag@MOF) and platelet-rich plasma (PRP)-loaded hydrogel systems based on methacrylated silk fibroin (SFMA) and methacrylate hyaluronic acid (HAMA) as Ag+ ion and growth factor delivery vehicles for inhibiting the growth of drug-resistant bacteria and promoting wound healing. The prepared SFMA/HAMA hydrogel demonstrated good rheological properties, swelling capability, appropriate mechanical properties and controllable biodegradability. The SFMA/HAMA/Ag@MOF/PRP hydrogel showed sustained release profiles of Ag+ ions and EGF. The SFMA/HAMA/Ag@MOF hydrogel have good inherent antibacterial properties against both gram-negative bacteria and gram-positive bacteria. The prepared hydrogel showed excellent cytocompatibility and could stimulate the growth and proliferation rate of NIH-3T3 cells. In vivo experiments showed that SFMA/HAMA/Ag@MOF/PRP hydrogel treatment enhanced the healing of full-thickness wounds, reduced inflammatory cell infiltration, and promoted re-epithelialization and collagen synthesis. All results indicated that the prepared hydrogel has tremendous potential to reduce wound infections and improve wound healing.","Shikun Wei, Zhongshan Wang, Xiaoyan Liang, Tingliang Xiong, Zhengyang Kang, Sheng Lei, Bin Wu, Biao Cheng",No DOI,American Journal Of Translational Research
