Title,Abstract,Authors,DOI,Journal
Revascularized Fibula Free Flap Reconstruction And Curvilinear Transport Distraction Osteogenesis In Closure Of Large Postmaxillectomy Defects: A New Gold Standard?,The revascularized fibula free flap (RFFF) is the most popular method of postmaxillectomy reconstruction. This article proves that the use of curvilinear transport distraction osteogenesis (CTDO) is an efficacious way in closing large defects in the maxilla and a superior alternative to the RFFF.,"Rushdi Hendricks, Zaheed Patel, Anil Pooran, George Vicatos",10.4103/ams.ams_267_19,Annals Of Maxillofacial Surgery
Hypoxia-Sensitive Micellar Nanoparticles For Co-Delivery Of Sirna And Chemotherapeutics To Overcome Multi-Drug Resistance In Tumor Cells,"Recently, it has been discovered that the PEG layer on nanoparticle surface can create steric hindrance, preventing efficient cellular uptake of PEGylated nanoparticles. Thus, it would be ideal to have a nanoparticle system that sheds the PEG layer upon reaching the tumor microenvironment. Hypoxia, which is a hallmark of cancerous tumors, can be used as a trigger to shed the PEG layer from the nanoparticle surface. In this study, a hypoxia-sensitive PEG-azobenzene-PEI-DOPE (PAPD) construct, with an azobenzene group as a hypoxia-sensitive moiety, was prepared. The feasibility of co-delivering Doxorubicin (Dox) and anti-P-gp siRNA (siPgp) using the PAPD nanoparticles was evaluated in monolayers of the Adriamycin-resistant human ovarian cancer cell line, A2780 ADR, and in 3D spheroids of the multidrug-resistant human breast cancer cell line, MCF7 ADR. Under hypoxic conditions, the PAPD nanoparticles showed up to a 60% increase in cellular uptake by monolayers and a significantly greater tumor penetration in a spheroid model. siPgp, when delivered using PAPD nanoparticles, showed up to a 60% P-gp downregulation under hypoxic conditions. The combination of siPgp and Dox delivered using PAPD nanoparticles led to an 80% cytotoxicity in cell monolayers and 20% cytotoxicity in spheroids under hypoxic conditions. In this research, a novel hypoxia-sensitive nanoparticle system was developed that demonstrated improved delivery of an encapsulated cargo and augmented cytotoxicity on multidrug-resistant cancer cells under hypoxic conditions.","Ujjwal Joshi, Nina Filipczak, Muhammad Muzamil Khan, Sara Aly Attia, Vladimir Torchilin",10.1016/j.ijpharm.2020.119915,International Journal Of Pharmaceutics
Management And Prevention Of Drug Resistant Infections In Burn Patients,"Introduction: Despite modern advances, the primary cause of death after burns remains infection and sepsis. A key factor in determining outcomes is colonization with multi-drug resistant (MDR) organisms. Infections secondary to MDR organisms are challenging due to lack of adequate antibiotic treatment, subsequently prolonging hospital stay and increasing risk of adverse outcomes. Areas covered: This review highlights the most frequent organisms colonizing burn wounds as well as the most common MDR bacterial infections. Additionally, we discuss different treatment modalities and MDR infection prevention strategies as their appropriate management would minimize morbidity and mortality in this population. We conducted a search for articles on PubMed, Web of Science, Embase, Cochrane, Scopus and UpToDate with applied search strategies including a combination of: ""burns, 'thermal injury,' 'infections,' 'sepsis,' 'drug resistance,' and 'antimicrobials.' Expert opinion: Management and prevention of MDR infections in burns is an ongoing challenge. We highlight the importance of preventative over therapeutic strategies, which are easy to implement and cost-effective. Additionally, targeted, limited use of antimicrobials can be beneficial in burn patients. A promising future area of investigation within this field is post-trauma microbiome profiling. Currently, the best treatment strategy for MDR in burn patients is prevention.","Roohi Vinaik, Dalia Barayan, Shahriar Shahrokhi, Marc G Jeschke",10.1080/14787210.2019.1648208,Expert Review Of Anti-Infective Therapy
Fate And Abundance Of Antibiotic Resistance Genes On Microplastics In Facility Vegetable Soil,"Microplastics (MPs) and antibiotic resistance genes (ARGs) coexist widely in farmland soils, but the fate and abundance of ARGs onMPs is rarely explored. In this study, high-throughput fluorescent quantitative polymerase chain reaction was used to determine ARGs onMPs in facility vegetable soil. The results indicated that when the particle size of the MPs was larger, the weathering was more serious, or theMPs came from soils with a long vegetable cultivation period, the levels of antibiotics and heavy metals on the MPs were higher. The distribution of the detected ARGs types on distinct MPs showed changes. Compared with weakly weathered MPs, the detected beta lactamase and aminoglycoside resistance genes on strongly weathered MPs were decreased by 2.6% and 1.7%, while the detected sul-ARGs and Macrolide-Lincosamide-Streptogramin B (MLSB) resistance genes were increased by 1.5% and 2.8%. Compared with smaller MPs, the detected MLSB and vancomycin resistance genes on largerMPswere decreased by 2.0% and 1.4%, while the detected fluoroquinolone, quinolone, florfenicol, chloramphenicol, and amphenicol (FCA) resistance genes and sul-ARGs were increased by 1.2% and 1.0%. Compared with MPs in soil after three years of vegetable cultivation, the detected FCA resistance genes and sul-ARGs on MPs in soil after ten years of vegetable cultivation were decreased by 1.3% and 1.6%, while the detected beta lactamase and aminoglycoside resistance genes were increased by 1.0% and 1.7%. This study suggests that MPs with larger size, stronger weathering or from soil after long-term vegetable cultivation adsorb more antibiotics and heavy metals and cause more mobile genetic elements, which can contribute to antibiotic resistance on the MPs. (C) 2019 Elsevier B.V. All rights reserved.","Lu, Xm; Lu, Pz; Liu, Xp",10.1016/j.scitotenv.2019.136276,Science Of The Total Environment
Phage-Plasmids Spread Antibiotic Resistance Genes Through Infection And Lysogenic Conversion,"Antibiotic resistance is rapidly spreading via the horizontal transfer of resistance genes in mobile genetic elements. While plasmids are key drivers of this process, few integrative phages encode antibiotic resistance genes. Here, we find that phage-plasmids, elements that are both phages and plasmids, often carry antibiotic resistance genes. We found 60 phage-plasmids with 184 antibiotic resistance genes, providing resistance for broad-spectrum-cephalosporins, carbapenems, aminoglycosides, fluoroquinolones, and colistin. These genes are in a few hot spots, seem to have been cotranslocated with transposable elements, and are often in class I integrons, which had not been previously found in phages. We tried to induce six phage-plasmids with resistance genes (including four with resistance integrons) and succeeded in five cases. Other phage-plasmids and integrative prophages were coinduced in these experiments. As a proof of concept, we focused on a P1-like element encoding an extended spectrum beta-lactamase, bla(CTX-M-55). After induction, we confirmed that it is capable of infecting and converting four other E. coli strains. Its reinduction led to the further conversion of a sensitive strain, confirming that it is a fully functional phage. This study shows that phage-plasmids carry a large diversity of clinically relevant antibiotic resistance genes that they can transfer across bacteria. As plasmids, these elements seem plastic and capable of acquiring genes from other plasmids. As phages, they may provide novel paths of transfer for resistance genes because they can infect bacteria that are distant in time and space from the original host. As a matter of alarm, they may also mediate transfer to other types of phages. IMPORTANCE The dissemination of antimicrobial resistance is a major threat to global health. Here, we show that a group of temperate bacterial viruses (phages), termed phage-plasmids, commonly encode different and multiple types of resistance genes of high clinical importance, often in integrons. This is unexpected, as phages typically do not carry resistance genes and, hence, do not confer upon their hosts resistance via infection and genome integration. Our experiments with phage-plasmids isolated from clinical settings confirmed that they infect sensitive strains and render them antibiotic resistant. The spread of antibiotic resistance genes by phage-plasmids is worrisome because it dispenses cell-to-cell contact, which is necessary for canonical plasmid transfer (conjugation). Furthermore, their integrons become genetic platforms for the acquisition of novel resistance genes. The dissemination of antimicrobial resistance is a major threat to global health. Here, we show that a group of temperate bacterial viruses (phages), termed phage-plasmids, commonly encode different and multiple types of resistance genes of high clinical importance, often in integrons.","Pfeifer, E; Bonnin, Ra; Rocha, Epc",10.1128/mbio.01851-22,Mbio
Varying Characteristics And Driving Mechanisms Of Antibiotic Resistance Genes In Farmland Soil Amended With High-Density Polyethylene Microplastics,"The differential effects of microplastics and phthalates released from microplastics on antibiotic resistance genes in soil remain unknown. This study aims to analyze the varying characteristics and driving mechanisms of antibiotic resistance genes in soils amended with high-density polyethylene microplastics (with and without phthalates) through a 60-day microcosm experiment. The results indicate that the amended high-density polyethylene microplastics (containing phthalates) enhanced the abundance of antibiotic resistance genes in the soil, a phenomenon that markedly increased with the amendment period. Nevertheless, the addition of high-density polyethylene microplastics (without phthalates) mitigated the abundance of antibiotic resistance genes, which was less significant with increasing amendment period. Furthermore, addition of high-density polyethylene microplastics altered the soil properties, especially porosity. The phthalates released from high-density polyethylene microplastics and the changes in the soil properties transformed soil bacterial communities, resulting in increased abundance of bacterial hosts harboring antibiotic resistance genes (Calditrichaeota, Candidate division CPR1, Candidatus Delongbacteria, Candidatus Kapabacteria, Candidatus Spechtbacteria, Candidatus Wildermuthbacteria, and Ignavibacteriae), thereby enhancing the abundance of antibiotic resistance genes. These findings suggest that compared to microplastics, the phthalates released from microplastics considerably affect the antibiotic resistance genes in soils, thereby promoting the propagation of antibiotic resistance genes in agricultural environments.","Lu, Xm; Chen, Yl",10.1016/j.jhazmat.2021.128196,Journal Of Hazardous Materials
Plastics In The Marine Environment Are Reservoirs For Antibiotic And Metal Resistance Genes,"Plastics have been accumulated offshore and in the deep oceans at an unprecedented scale. Microbial communities have colonized the plastisphere, which has become a reservoir for both antibiotic and metal resistance genes (ARGs and MRGs). This is the first analysis of the diversity, abundance, and co-occurrence of ARGs and MRGs, and their relationships within the microbial community, using metagenomic data of plastic particles observed in the North Pacific Gyre obtained from the National Centre for Biotechnology Information Sequence Read Archive database. The abundance of ARGs and MRGs in microbial communities on the plastics were in the ranges 7.07 x 10(-4)-1.21 x 10(-2) and 5.51 x 10(-3)-4.82 x 10(-2) copies per 16S rRNA, respectively. Both the Shannon-Wiener indices and richness of ARGs and MRGs in plastics microbiota were significantly greater than those of ARGs and MRGs in seawater microbiota in the North Pacific Gyre via one-way analysis of variance. Multidrug resistance genes and multi-metal resistance genes were the main classes of genes detected in plastic microbiota. There were no significant differences in the abundance or diversity of ARGs and MRGs between macroplastics biota and microplastics biota, indicating that particle size had no effect on resistance genes. Procrustes analysis suggested that microbial community composition was the determining factor of the ARG profile but not for MRG. Some ARGs and MRGs had a higher incidence of non-random co-occurrence, suggesting that the co-effects of selection for antibiotic or metal resistance are important factors influencing the resistome of the microbiota on the plastic particles.","Yang, Yy; Liu, Gh; Song, Wj; Ye, C; Lin, H; Li, Z; Liu, Wz",10.1016/j.envint.2018.11.061,Environment International
Selection Of Antibiotic Resistance Genes On Biodegradable And Non-Biodegradable Microplastics,"Growing evidence have demonstrated that microplastics in the marine ecosystem can provide novel substrates for biofilm formation, potentially facilitating the spread of antibiotic resistance. However, the occurrence of antibiotic resistance genes (ARGs) in the biofilm on microplastics has not been fully explored. This study used the metagenomic data of biodegradable and non-biodegradable microplastics staged at a coastal lagoon in the northern Gulf of Mexico to profile the ARGs and their bacterial hosts. The abundance and Shannon diversity of ARGs on biodegradable poly hydroxy alkanoate (PHA) and non-biodegradable polyethylene terephthalate (PET) have no significant differences. Nevertheless, the abundance of multidrug resistance genes on PET (3.05 copies per 16S rRNA) was statistically higher than that on PHA (2.05). Beta diversity showed that the overall pattern of resistome on PHA was significantly distinct with that on PET. Procrustes analysis suggested a good-fit correlation between ARG profiles and bacterial community composition. The host-tracking analysis identified that Pseudomonas was always the major host for glycopeptide and multidrug resistance genes in PET and PHA biofilms, whereas the primary host for macrolide-lincosamide-streptogramin (MLS) changed to Desulfovibrio on PET. This study provided the first metagenomic insights into the ARGs and their hosts on biodegradable and nonbiodegradable microplastics, suggesting that both two types of plastics harbor ARGs with preferences.","Sun, Yz; Cao, N; Duan, Cx; Wang, Q; Ding, Cf; Wang, J",10.1016/j.jhazmat.2020.124979,Journal Of Hazardous Materials
"The Dissemination Of Antibiotics And Their Corresponding Resistance Genes In Treated Effluent-Soil-Crops Continuum, And The Effect Of Barriers","Irrigation with treated effluent is expanding as freshwater sources diminish, but hampered by growing concerns of pharmaceuticals contamination, specifically antibiotics and resistance determinants. To evaluate this concern, freshwater and effluent were applied to an open field that was treated with soil barriers including plastic mulch together with surface and subsurface drip irrigation, cultivating freshly eaten crops (cucumbers or melons) for two consecutive growing seasons. We hypothesized that the effluent carries antibiotics and resistance determinants to the drip-irrigated soil and crops regardless of the treatment. To test our hypothesis, we monitored for antibiotics abundance (erythromycin, sulfamethoxazole, tetracycline, chlortetracycline, oxytetracydine, amoxicillin, and ofloxacin) and their corresponding resistance genes (ermB, ermF, sul1, tetW, tetO, bla(TEM) and qnrB), together with class 1 integron (intl1), and bacterial 16S rRNA, in water, soil, and crop samples taken over two years of cultivation. The results showed that an array of antibiotics and their corresponding resistance genes were detected in the effluent but not the freshwater. Yet, there were no significant differences in the distribution or abundance of antibiotics and resistance genes, regardless of the irrigation water quality, or crop type (p > 0.05), but plastic-covered soil irrigated with effluent retained the antibiotics oxytetracydine and ofloxacin (p < 0.05). However, we could not detect significant correlations between the detected antibiotics and the corresponding resistance genes. Overall, our findings disproved our hypothesis suggesting that treated effluent may not carry antibiotics resistance genes to the irrigated soil and crops yet, plastic mulch covered soil retain some antibiotics that may inflict long term contamination. (C) 2021 Elsevier B.V. All rights reserved.","Seyoum, Mm; Obayomi, O; Bernstein, N; Williams, Cf; Gillor, O",10.1016/j.scitotenv.2021.151525,Science Of The Total Environment
Is The Application Of Organic Fertilizers Becoming An Undeniable Source Of Microplastics And Resistance Genes In Agricultural Systems?,"The application of organic fertilizers is becoming an undeniable source of microplastics and antibiotic resistance genes (ARGs) in agricultural soils. The complex microbial activity further transfers resistance genes and their host bacteria to agricultural products and throughout the entire food chain. Therefore, the current main focus is on reducing the abundance of microplastics and ARGs in organic fertilizers at the source, as well as managing microplastics and ARGs in soil. The control of microplastic abundance in organic fertilizers is currently only achieved through pre-composting selection and other methods. However, there are still many shortcomings in the research on the distribution characteristics, propagation and diffusion mechanisms, and control technologies of ARGs, and some key scientific issues still need to be urgently addressed. The high-temperature composting of organic waste can effectively reduce the abundance of ARGs in organic fertilizers to a certain extent. However, it is also important to consider the spread of ARGs in residual antibiotic-resistant bacteria (ARB). This article systematically explores the pathways and interactions of microplastics and resistance genes entering agricultural soils through the application of organic fertilizers. The removal of microplastics and ARGs from organic fertilizers was discussed in detail. Based on the limitations of existing research, further investigation in this area is expected to provide valuable insights for the development and practical implementation of technologies aimed at reducing soil microplastics and resistance genes.","Li, Th; Tao, Sy; Ma, Mj; Liu, Sw; Shen, Mc; Zhang, Hj",10.1016/j.scitotenv.2023.169571,Science Of The Total Environment
