Title,Abstract,Authors,DOI,Journal
[Distribution Of Microplastic And Antibiotic Resistance Gene Pollution In Jiulong River Estuary],"Pollution from microplastics (MPs) and antibiotic resistance genes (ARGs) is prevalent in estuarine regions. MPs may also enrich ARGs and increase the spread of ARGs. This study investigated the distribution characteristics of MPs in surface water and sediments from different stations in Jiulong River estuary for the first time, determined eight common ARGs abundance in each sample, and analyzed the correlation between MPs content and ARGs abundance. The results showed:① MPs concentrations in the Jiulong River estuary water environment ranged from 2 to 66 n·L-1, and the sediment content range (dw) was 8 to 85 n·kg-1. The main materials of MPs detected were polypropylene (PP), polystyrene (PS), and polyethylene (PE). More than 85% of the MPs were smaller than 1 mm. ② The predominant ARGs in the estuary were tetracycline resistance genes tetC and tetG and sulfonamide resistance gene sul2; the relative abundance of ARGs in the surface water showed a significant negative correlation with salinity. ③ A positive correlation existed among MPs concentration, ARGs relative abundance, and class1 integron geneintI1, which implied that MPs may promote the spread of ARGs in seawater.","Hong Cheng, Rong Chen",10.13227/j.hjkx.202206008,Huan Jing Ke Xue= Huanjing Kexue
[Microplastic-Induced Alterations To Antibiotic Resistance Genes In Seawater],"The increasing and combined pollution of microplastics (MPs) and antibiotic resistance genes (ARGs) in aquatic environments is a great ecological and health concern. However, MP-induced alterations to ARGs in seawater is poorly understood, impeding risk assessment of plastics. We profiled the diversity and abundance of ARGs and mobile genetic elements (MGEs) in seawater after the addition of three different MPs (PE, PVC, and PVA) and 49-day aerated incubation.A total of 20, 35, 42, and 64 ARGs were detected in BLK, PE, PVC, and PVA, with 2, 4, 2, and 3 MGEs, respectively. The absolute abundance of ARGs in the seawater aerated with MPs ranged from 4.01×106 copies ·L-1 to 1.05×108 copies ·L-1. Additionally, the variety and richness of ARGs and MGEs in PVA were significantly higher than in the original seawater, or the seawater aerated with the other two MPs. This indicates that PVA, which is water soluble, could induce more diverse and abundant ARGs in seawater. Significant correlations among ARGs, MGEs, and 16S rRNA genes were observed, implying that the occurrence of MGEs in seawater may accelerate the transmission of ARGs through horizontal gene transfer, and bacterial microorganisms could directly affect the propagation and dissemination of ARGs.","Shu-Yi-Dan Zhou, Yong-Guan Zhu, Fu-Yi Huang",10.13227/j.hjkx.202101009,Huan Jing Ke Xue= Huanjing Kexue
[Effects And Mechanisms Of Polystyrene Microplastics On Extracellular Antibiotic Resistance Genes In Wastewater],"Microplastics (MPs) and antibiotic resistance genes (ARGs) are typical co-existing emerging pollutants in wastewater treatment plants. MPs have been shown to alter the distribution pattern of ARGs in sludge, but their effects on free extracellular ARGs (feARGs) in wastewater remain unclear. In this study, we used fluorescence quantitative PCR to investigate the dynamics of feARGs (including tetC, tetO, sul1, and sul2) in wastewater and their transition mechanisms after 60 d of exposure to typical MPs (polystyrene, PS). The results showed that the absolute abundance of tetracycline feARGs decreased by 28.4 %-76.0 % and 35.2 %-96.2 %, respectively, under nm-level and mm-level PS exposure and changed by -55.4 %-122.4 % under μm-level PS exposure. The abundance of sul1 showed a trend of nm-level &gt; μm-level &gt; mm-level upon PS exposure, and the changes in sul1 abundance was greater with ρ(PS)=50 mg·L-1 exposure. The relative abundance of sul2 was reduced by 25.4 %-42.6 % and 46.1 %-90.3 % after μm-level and mm-level PS exposure, respectively, and increased by 1.9-3.9 times after nm-level PS exposure, and the sul2 showed a higher reduction at ρ (PS)=50 mg·L-1 exposure than that at ρ (PS)=0.5 mg·L-1. The Pearson correlation analysis showed that the relative abundance of feARGs during PS exposure was positively correlated with cell membrane permeability and typical mobile genetic elements (intI1) abundance and negatively correlated with reactive oxygen species level. Our findings elucidated the effects and corresponding mechanisms of PS on the growth and mobility of feARGs in wastewater, providing a scientific basis for the control of the combined MPs and ARGs pollution in wastewater.","Shuai Zhou, A-Chao Huang, Ze-Feng Huang, Lun-Fu Li, Feng-Juan Yang, An-Qi Chen, Fei-Chen Xiu, Yuan-Yuan Gao",10.13227/j.hjkx.202307246,Huan Jing Ke Xue= Huanjing Kexue
[Research Progress On The Effect Of Estuary Microplastics On Antibiotic Resistance Genes],"Estuaries are transitional zones between rivers and marine environments, with intensive human activities. Pollutants pose a threat to the ecological systems of estuaries. Among these pollutants, microplastics and antibiotic resistant genes have gained significant attention due to their potential impacts on estuarine organisms and human health. Microplastics can form unique biofilms, adsorb pollutants from the surrounding environment, and provide potential hosts for antibiotic resistant genes, with positive consequence on horizontal gene transfer of antibiotic resistance. We provided an overview of the pollution status of microplastics and antibiotic resistant genes in estua-rine areas, with a particular emphasis on the influence of biofilms formed on microplastics on the enrichment, transport, and transfer of antibiotic resistant genes. We also highlighted the limitations in current research, regarding microplastic sampling, analysis methods, and inconsistent reporting units. Furthermore, we proposed prospects for the biodegradation of microplastics and potential risk assessment of microplastic biofilms.","Qing Wang, Jing-Hao Qiu, Yan Sun, Ni Ni, Shao-Jing Sun, Xu-Li Li, Sheng-Juan Yang, Yi-Ran Liu, Ying-Ying Cui",10.13287/j.1001-9332.202410.028,Ying Yong Sheng Tai Xue Bao = The Journal Of Applied Ecology
[Effects Of Microplastics On Antibiotic Resistance Genes In Estuarine Sediments],"Microplastics and antibiotic resistance genes (ARGs) are emerging pollutants/contaminants, and are also the research hotspots concerning environmental health in the past few years. To explore the effects of microplastics on ARGs in estuarine sediment, three different microplastics were added to microcosm incubation experiments of sediments. Then, we investigated the persistence, abundance, diversity, and shifts of the ARGs in estuarine sediments by high-throughput quantitative polymerase chain reaction (PCR). The results showed that the microplastics significantly changed the structure of ARGs in the sediments. PVC and PE, which are hard to degrade, had significant effects on the structures and types of ARGs. However, the PVA, which is soluble, reduced the types and persistence of ARGs significantly. The abundance of ARGs in S_PVC, S_PE, and S_PVA were 4.1×109, 8.1×109, and 2.0×109 copies·g-1, respectively. The abundance of ARGs in sediments with added PE almost increased by one order of magnitude, implying that microplastics could significantly increase the abundance of ARGs in sediments. Furthermore, OLS regression analysis showed that ARGs are significantly correlated with transposon and integron, suggesting that mobile genetic elements (MGEs) may promote the transfer and dissemination of ARGs.","Fu-Yi Huang, Kai Yang, Zi-Xing Zhang, Jian-Qiang Su, Yong-Guan Zhu, Xian Zhang",10.13227/j.hjkx.201810108,Huan Jing Ke Xue= Huanjing Kexue
[Occurrence Characteristics Of Microplastics And Metal Elements In The Surface Water Of Huangpu River And Their Associations With Metal Resistance Genes],"Urban rivers have been regarded as the ""hotspots"" for microplastic (MPs) and metal contamination as they play important roles in pollution migration. However, as important sinks and sources of resistance genes, there has been little to no research investigating the associations between MPs, metal contaminations, and metal resistance genes (MRGs). Ten water samples were collected from the Huangpu River in situ; along with metal elements, MPs characteristics analyzed. Metal resistance genes and mobile genetic elements (MGEs) in waters and MPs were detected using metagenomic technology. As a result, the highest metal concentration was that of Sb in surface water (3.16±0.419) μg·L-1. The average abundance of MPs was (1.78±0.84) n·L-1, and the peak levels located in industrial and densely populated areas, which was significantly higher than those in agricultural and low population density areas. Fibrous, small-size (<0.5 mm), and transparent polyethylene terephthalate (PET) were the largest contributors of MPs. Eighteen MRGs were detected in all the samples. The relative abundance of MRGs in water was 1.68±0.21. The most dominant MRGs subtypes were merR and ruvB, which are subtypes resistant to mercury and Multi_metals. Correlation analysis showed that chromium and nickel in waters were significantly positively associated with MRG-Cr, MRG-Ni, and Multi_metals resistance genes. For MPs particles, the relative abundance of MRGs was 1.63±0.53. The most dominant MRGs subtypes were merT-P and copB, which also belong to mercury-resistant and Multi_metals. The Multi_metals resistance gene, ctpC, cueA, czrA, kmtR, etc., had significant positive associations with Ni, Cr, and Sb in waters. Compared with water samples, MPs selectively enriched merT-P, copB, ziaA, sodA, and dmeF. Additionally, the co-occurrence patterns of MRGs and MGEs were explored based on network analysis. In water samples, the transposases (tnpA_1 and tnpA_2), integrase (qacEdelta), and insertion sequence (IS91) were the major contributors of the horizontal gene transfer (HGT) of specific MRGs. Multiple subtypes resistant to copper and Multi_metals resistance genes on MPs were positively associated with IncFIC(FII), Rep7, rep7, and rep13, which were subtypes of plasmids. The presence of MPs exerted a significant impact on HGT of specific MRGs mediated by plasmids.","Jia-Wei Lu, Chen-Ye Xu, Chun Hu, Shu-Ren Liu, Fang Li",10.13227/j.hjkx.202206267,Huan Jing Ke Xue= Huanjing Kexue
"Evaluation Of The Antimicrobial Activity Of Novel Composite Plastics Containing Two Silver (I) Additives, Acyl Pyrazolonate And Acyl Pyrazolone","Public health systems today face the dual challenges of controlling infections and curbing the increase in antimicrobial resistance manifested in drug-resistant microorganisms in hospitals and elsewhere. In the last ten years, research has been conducted to develop new materials with antimicrobial properties to be used in medical devices, increasingly found to harbour critical nosocomial infections.","Stefania Scuri, Fabio Petrelli, Iolanda Grappasonni, Loveth Idemudia, Fabio Marchetti, Corrado Di Nicola",10.23750/abm.v90i3.8561,Acta Bio-Medica : Atenei Parmensis
[Effects Of Biochar Application On Physicochemical Properties And Bacterial Communities Of Microplastic-Contaminated Calcareous Soil],"Microplastics are widely distributed in the soil environment, threatening the soil ecological environment system and changing soil physicochemical properties and microbial characteristics. Biochar is often used as a soil amendment to improve soil quality due to its special pore structure and good soil nutrient retention ability. However, the understanding of the effects and mechanisms of biochar application on the physicochemical properties and bacterial communities of microplastic-contaminated soils is still very limited. Therefore, a 21-day micro-soil culture experiment was conducted to analyze the effects of biochar application on physicochemical properties and bacterial community changes in soil contaminated with different concentrations of microplastics using 16S rRNA high-throughput sequencing technology. The results revealed that the application of biochar slowed down the decrease in nitrate nitrogen and Olsen-P contents in microplastic-contaminated soil and increased the total phosphorus content. Biochar addition increased the relative abundance of tolerant phylum such as Acidobacteriota, Actinobacteriota, and Bacteroidota in microplastic-contaminated calcareous soil. Proteobacteria, Acidobacteriota, and Actinobacteriota were the dominant bacteria of the soil bacterial community in each treatment on day 7 and day 21. Compared with that on day 7, the relative abundance of Proteobacteria and Firmicutes significantly decreased, and the relative abundance of Acidobacteriota, Actinobacteriota, Bacteroidota, Chloroflexi, and Myxococcota increased on day 21. Biochar application also increased the relative abundance of Lysobacter in microplastic-contaminated soils. This study demonstrated that the application of biochar increased microplastic-resistant bacteria, enhanced the stability of microplastic-contaminated soil, and slowed down the pollution of microplastics to the soil. Moreover, biochar had great potential to improve the quality of microplastic-contaminated calcareous soil.","Tai-Shan Ran, Jian Long, Hong-Kai Liao, Juan Li, Guo-Mei Yang, Yu-Xin Zhao",10.13227/j.hjkx.202209166,Huan Jing Ke Xue= Huanjing Kexue
[Microplastics-Induced Shifts Of Diversity And Abundance Of Antibiotic Resistance Genes In River Water],"Microplastics (MPs) and antibiotic resistance genes (ARGs) are both considered emerging contaminants of increasing concern because their combined pollution poses a serious risk to the ecological environment and human health. In this study, high-throughput quantitative PCR techniques were used to investigate the diversity and abundance of ARGs in river water, to which two different microplastics (PVC and PVA) were added for aerated incubation. The results showed that ARGs in river water were diverse, and microplastics could induce more types of ARGs. Although the number and abundance of ARGs decreased in all three treatments, which were cultivated for 14 d by aeration, compared to those in non-treated samples, the total abundance of ARGs in treatments aerated with MPs were higher than those aerated without MPs, especially in the samples treated with water-soluble microplastics (PVA). Significant correlations between the abundance of ARGs and mobile genetic elements (MGEs) were observed, implying that the occurrence of MGEs may potentially affect the transmission and distribution of ARGs through horizontal gene transfer (HGT) in river water.","Xin-Yuan Zhou, Yan-Zi Wang, Jian-Qiang Su, Fu-Yi Huang",10.13227/j.hjkx.202003146,Huan Jing Ke Xue= Huanjing Kexue
[Biomechanical And Biocompatible Enhancement Of Reinforced Calcium Phosphate Cement Via Rgd Peptide Grafted Chitosan Nanofibers],"Objective: To analysis the biomechanical and biocompatible properties of calcium phosphate cement (CPC) enhanced by chitosan short nanofibers(CSNF) and Arg-Gly-Asp (RGD). Methods: Chitosan nanofibers were prepared by electrospinning, and cut into short fibers by high speed dispersion. CPC with calcium phosphorus ratio of 1.5:1 was prepared by Biocement D method. The composition and structure of CPC, CSNF, RGD modified CSNF (CSNF-RGD), CSNF enhanced CPC (CPC-CSNF), RGD modified CPC-CSNF (CPC-CSNF-RGD) were observed by infrared spectrum, X-ray diffraction (XRD) and scan electron microscopy (SEM). The mechanical properties were measured by universal mechanical testing instrument. The adhesion and proliferation of MC3T3 cells were assessed using immunofluorescence staining and MTT method. Results: The distribution of CSNF in the scaffold was homogeneous, and the porous structure between the nanofibers was observed by SEM. The infrared spectrum showed the characteristic peaks at 1633 nm and 1585 nm, indicating that RGD was successfully grafted on chitosan nanofibers. The XRD pattern showed that the bone cement had a certain curability. The stain-stress test showed that break strengths were (17.74±0.54) MPa for CPC-CSNF and (16.67±0.56) MPa for CPCP-CSNF-RGD, both were higher than that of CPC(all P<0.05). The immunofluorescence staining and MTT results indicated that MC3T3 cells grew better on CPC-CSNF-RGD after 240 min of culture(all P<0.05). Conclusion: CSNF-RGD can improve the biomechanical property and biocompatibility of CPC, indicating its potential application in bone tissue repair.","Yang Huang, Jinsong Kong, Xiaokang Gong, Xin Zheng, Haibao Wang, Jianwei Ruan",10.3785/j.issn.1008-9292.2017.12.04,Zhejiang Da Xue Xue Bao. Yi Xue Ban = Journal Of Zhejiang University. Medical Sciences
